('ingredient', 'Cheese', ' Serbia', 'Geographical_indication')
('ingredient', 'Cheese', ' Slovakia', 'Bryndza')
('ingredient', 'Cheese', ' Slovakia', 'Liptauer')
('ingredient', 'Cheese', ' Slovakia', 'Korbaciky')
('ingredient', 'Cheese', ' Slovakia', 'Parenica')
('ingredient', 'Cheese', ' Slovakia', 'Quark_(cheese)')
('ingredient', 'Cheese', ' Spain', 'Spanish_cheeses')
('ingredient', 'Cheese', ' Spain', 'Manchego_cheese')
('ingredient', 'Cheese', ' Spain', 'Asturias')
('ingredient', 'Cheese', ' Spain', 'Cabrales_cheese')
('ingredient', 'Cheese', ' Spain', 'Gamonedo_cheese')
('ingredient', 'Cheese', ' Spain', 'Garrotxa_cheese')
('ingredient', 'Cheese', ' Spain', 'Basque_Country_(autonomous_community)')
('ingredient', 'Cheese', ' Spain', 'Majorero_cheese')
('ingredient', 'Cheese', ' Spain', 'Manchego_cheese')
('ingredient', 'Cheese', ' Spain', 'Catalonia')
('ingredient', 'Cheese', ' Spain', 'Murcian_cheese')
('ingredient', 'Cheese', ' Spain', 'La_Serena_cheese')
('ingredient', 'Cheese', ' Spain', 'Cantabria')
('ingredient', 'Cheese', ' Spain', 'Roncal_cheese')
('ingredient', 'Cheese', ' Spain', 'Tetilla_cheese')
('ingredient', 'Cheese', ' Spain', 'Torta_del_Casar')
('ingredient', 'Cheese', ' Spain', 'Zamorano_cheese')
('ingredient', 'Cheese', ' Sweden', 'Svecia')
('ingredient', 'Cheese', ' Switzerland', 'Cheeses_of_Switzerland')
('ingredient', 'Cheese', ' Turkey', 'Seferihisar')
('ingredient', 'Cheese', ' Turkey', 'Gaziantep')
('ingredient', 'Cheese', ' Turkey', 'Beyaz_peynir')
('ingredient', 'Cheese', ' Turkey', 'Erzurum')
('ingredient', 'Cheese', ' Turkey', 'Kayseri')
('ingredient', 'Cheese', ' Turkey', 'Konya')
('ingredient', 'Cheese', ' Turkey', 'Yozgat')
